udise_code,school_name,district,village,longitude,latitude,school_category,management
18010100804,MOYNAGURI ME SCHOOL,KOKRAJHAR,MAYNAGURI,90.162400000005,26.4200829999985,Upper Primary only,Government Aided
18101007504,GAREMATIKHOWA LP,NAGAON,GAREMATI KHOWA,92.769450000251,26.4201170002182,Primary,Department of Education
18070404105,KHAIRABARI MOKTAB LPS,NALBARI,NIZ PAKOWA,91.3932329999011,26.4201329999396,Primary,Department of Education
18090104201,LAHARIGHAT LP,MORIGAON,BORBORI,92.3398670003718,26.4201329999396,Primary,Department of Education
18050203603,1368 DAKHIN ATA L.P.SCHOOL,BARPETA,ATA GAON,91.0821500003902,26.4201499996411,Primary,Department of Education
18100902505,ROWMARI MUKTAB(V),NAGAON,ROWMARI,92.7146669999288,26.4201670001446,Primary,Department of Education
18010100801,NO.826 PUB MAYNAGURI LPS,KOKRAJHAR,MAYNAGURI,90.1624169997234,26.4202329997567,Primary,Department of Education
18090107501,MAHMARI NABAJUG LP,MORIGAON,MAHMARI PATHAR,92.2953829997291,26.420250000248,Primary,Department of Education
18090107502,PUB MAHMARI GIRLS LP,MORIGAON,MAHMARI PATHAR,92.3003170000204,26.420250000248,Primary,Department of Education
18101007509,GAREMATIKHOWA NUR BANU MKB,NAGAON,GAREMATI KHOWA,92.7735169996307,26.4202669999322,Primary,Department of Education
18060806008,SIDDHINATH VIDYAMANDIR HS,KAMRUP-RURAL,NAKUL,91.6297499998656,26.4203000001167,Pri. Upper Pri. and Secondary Only,Department of Education
18040207901,503 NO BAGULAMARI LPS,BONGAIGAON,BAGULAMARI(BONGAIGAON),90.4104500000834,26.4203169997936,Primary,Department of Education
18040317009,PURBA BALARPET LPS,BONGAIGAON,BALARPET,90.7539500001957,26.4203330002916,Primary,Unrecognized
18010211504,BASHBARI JWNGSHAR BOTH MEDIUM VLPS,KOKRAJHAR,BASHBARI,90.0034170000479,26.4203669996332,Primary,Unrecognized
18060812303,1 NO HACHANG OBC LPS,KAMRUP-RURAL,1 NO. HACHANG,91.6842829999426,26.4203669996332,Primary,Unrecognized
18090108703,SWAHID MUZAMIL HAQUE BALIKA LP,MORIGAON,BORHALOWKANDA GAON,92.2779670001931,26.4203669996332,Primary,Department of Education
18080220304,DARRANGJYOTI HIGH SCHOOL,DARRANG,PAKABANGIPARA,91.9916830002134,26.4203830001244,Secondary Only,Government Aided
18010222803,PRATHAMICK AZAD VIDYAPITH  VLPS,KOKRAJHAR,PATIALPARA,90.0548169998074,26.4204170002556,Primary,Unrecognized
18060812301,35 NO. HACHANG LPS,KAMRUP-RURAL,1 NO. HACHANG,91.6842500003307,26.4204170002556,Primary,Department of Education
18180237107,LATAKUBOSTI KOCHARI CHUK NEW LPS,GOLAGHAT,LETEKUBASTI,93.829332999708,26.4204170002556,Primary,Department of Education
18070404206,1174 NO PANIGAON BOYS LPS,NALBARI,PANIGAON,91.3891670003464,26.4204329999354,Primary,Department of Education
18060606609,ADARSHA JATIA VIDYALAYA,KAMRUP-RURAL,JATIABHANGARA,91.7279830004127,26.4204329999354,Pri. Upper Pri. and Secondary Only,Private Unaided (Recognized)
18080220303,DARRANG JYOTI MES,DARRANG,PAKABANGIPARA,91.9918499997197,26.4204329999354,Upper Primary only,Government Aided
18010527001,U.N. ACADEMY (PVT),KOKRAJHAR,BORO BHATARMARI,90.2794829996407,26.4204670000519,Pri. with Upper Pri. Sec. and H.Sec.,Private Unaided (Recognized)
18060806001,PUB NAKUL LPS,KAMRUP-RURAL,NAKUL,91.6523830004484,26.4204670000519,Primary,Department of Education
18190603108,SANTILANGSO L.P,KARBI ANGLONG,DOKHARA,93.7474000000599,26.4204670000519,Primary,Department of Education
18070215905,BARPIT LPS,NALBARI,BHOJKUCHI,91.2963669998579,26.4204829997247,Primary,Department of Education
18050208117,"ADARSHA JATIYA VIDYALAYA,HAZIPARA",BARPETA,HAJIPARA,90.9472999997926,26.4205000001791,Primary with Upper Primary,Private Unaided (Recognized)
18050207815,HOWLY JATIYA VIDYALAYA,BARPETA,3 NO WARD HOWLY,90.9712000004218,26.4205000001791,Pri. Upper Pri. and Secondary Only,Private Unaided (Recognized)
18240414701,947.KALJAR HELANAR PAM L.P,BAKSA,HELONER PAM,91.0087000003791,26.4205000001791,Primary,Department of Education
18070205402,DAKSHIN NALBARI BIDYAPITH MES,NALBARI,JOYMONGLA,91.429767000111,26.4205330002969,Upper Primary only,Department of Education
18070404210,PANIGAON MILON MOKTAB,NALBARI,PANIGAON,91.4012999996116,26.4205670003839,Primary,Department of Education
18080220301,214 PAKABANGIPARA L.P SCHOOL,DARRANG,PAKABANGIPARA,91.9815669999338,26.4205670003839,Primary,Department of Education
18100100313,DAKHIN POLASHTOLI LPS,NAGAON,PANBARI,92.4491500002608,26.4205670003839,Primary,Unrecognized
18090105003,LAHARIGHAT H.S. SCHOOL,MORIGAON,BARBORI,92.3412330001525,26.4205830000429,Upper Pri. Secondary and Higher Sec,Department of Education
18100207604,1074 NO. TINISUKIA 2NO. MAQTAB,NAGAON,TINISUKIA,92.685449999592,26.4205830000429,Primary,Department of Education
18101013506,SAMAGURI JUNIOR COLLEGE,NAGAON,SAMAGURI GRANT,92.8559999999981,26.420599999678,Higher Secondary only/Jr. College,Government Aided
18070404801,453 NO. PAHALONG PARA LPS,NALBARI,PAHALONGPARA,91.3484830000179,26.4206329997672,Primary,Department of Education
18010201506,PUB CHOUTARA MILAN VLPS,KOKRAJHAR,CHOUTARA,90.0997669997072,26.4206669998248,Primary,Unrecognized
18060600806,BARGAON TULAMATI LPS,KAMRUP-RURAL,BARGAON,91.7476829997962,26.4206669998248,Primary,Department of Education
18060809302,HACHANG MES,KAMRUP-RURAL,2 NO. HACHANG,91.6911670001706,26.4206830002743,Upper Primary only,Department of Education
18100207618,PUB TINISUKIA PR S MADRASSA,NAGAON,TINISUKIA,92.6845829995787,26.4206830002743,Upper Primary only,Government Aided
18040214105,BIDYAPUR ANCHALIK MEM,BONGAIGAON,NALDOBA (BONGAIGAON),90.6990999999263,26.4207170003171,Upper Primary only,Government Aided
18060809303,2 NO. HACHANG B.M. LPS,KAMRUP-RURAL,2 NO. HACHANG,91.6918170004489,26.4207329999552,Primary,Department of Education
18050310507,PACHIM GHUGUBARI LPS,BARPETA,GHUGU BARI,90.8748499998642,26.4207500003728,Primary,Unrecognized
18050208115,HAZIPARA HIGH SCHOOL,BARPETA,HAJIPARA,90.9499329996196,26.4207500003728,Pri. Upper Pri. and Secondary Only,Department of Education
18060809301,3 NO. HACHANG LPS,KAMRUP-RURAL,2 NO. HACHANG,91.6915670002037,26.4207500003728,Primary,Department of Education
